Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
243,Erik Jones,460.700000,off,0.000000,DTCS,88.5,88.5,654,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
248,Bowman,468.450000,off,0.000000,DTCS,88.5,88.5,351,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
301,NAS,461.200000,off,0.000000,DTCS,88.5,88.5,432,NN,023,Tone->Tone,NFM,5.00,,5.0W,,,,,
302,NAS 2,464.600000,off,0.000000,DTCS,88.5,88.5,631,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
303,NAS 5,451.225000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
304,NAS 10,451.575000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
305,FOX,450.237500,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
306,SPEED,450.112500,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
307,ROWDY 1,454.500000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
308,ROWDY 2,454.700000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
